"","X","acne","treatment","color"
"680",680,0,"placebo","brown"
"3262",3262,0,"placebo","green"
"6786",6786,0,"placebo","lilac"
"3828",3828,0,"placebo","turquoise"
"7525",7525,0,"jellybean","beige"
"7243",7243,0,"jellybean","mauve"
"3662",3662,0,"placebo","turquoise"
"2262",2262,1,"placebo","teal"
"4036",4036,1,"placebo","magenta"
"4584",4584,1,"placebo","yellow"
"4912",4912,0,"placebo","yellow"
"5488",5488,0,"placebo","grey"
"2692",2692,0,"placebo","salmon"
"1614",1614,1,"placebo","blue"
"1637",1637,0,"jellybean","blue"
"3147",3147,0,"jellybean","green"
"5113",5113,1,"jellybean","grey"
"1959",1959,0,"jellybean","blue"
"2398",2398,0,"placebo","teal"
"3558",3558,0,"placebo","turquoise"
"7798",7798,0,"placebo","beige"
"1371",1371,0,"jellybean","pink"
"9342",9342,0,"placebo","peach"
"1362",1362,0,"placebo","pink"
"8658",8658,0,"placebo","black"
"6486",6486,1,"placebo","cyan"
"4403",4403,0,"jellybean","magenta"
"1183",1183,0,"jellybean","pink"
"4919",4919,0,"jellybean","yellow"
"7430",7430,0,"placebo","mauve"
"19",19,0,"jellybean","purple"
"5803",5803,0,"jellybean","tan"
"9062",9062,0,"placebo","peach"
"1064",1064,0,"placebo","pink"
"2442",2442,0,"placebo","teal"
"8913",8913,0,"jellybean","black"
"5589",5589,0,"jellybean","tan"
"1874",1874,0,"placebo","blue"
"7236",7236,1,"placebo","mauve"
"7661",7661,0,"jellybean","beige"
"6529",6529,0,"jellybean","lilac"
"8183",8183,0,"jellybean","red"
"219",219,1,"jellybean","purple"
"1278",1278,0,"placebo","pink"
"3849",3849,0,"jellybean","turquoise"
"1034",1034,0,"placebo","pink"
"1633",1633,0,"jellybean","blue"
"2482",2482,0,"placebo","teal"
"1482",1482,0,"placebo","pink"
"6517",6517,0,"jellybean","lilac"
"5289",5289,0,"jellybean","grey"
"1378",1378,1,"placebo","pink"
"8627",8627,0,"jellybean","black"
"2968",2968,0,"placebo","salmon"
"7544",7544,0,"placebo","beige"
"5726",5726,0,"placebo","tan"
"173",173,1,"jellybean","purple"
"7691",7691,0,"jellybean","beige"
"5301",5301,0,"jellybean","grey"
"8921",8921,0,"jellybean","black"
"1243",1243,0,"jellybean","pink"
"931",931,1,"jellybean","brown"
"7605",7605,0,"jellybean","beige"
"1923",1923,1,"jellybean","blue"
"3062",3062,0,"placebo","green"
"441",441,0,"jellybean","purple"
"7422",7422,0,"placebo","mauve"
"2046",2046,1,"placebo","teal"
"3187",3187,0,"jellybean","green"
"2645",2645,1,"jellybean","salmon"
"91",91,0,"jellybean","purple"
"1248",1248,0,"placebo","pink"
"1050",1050,1,"placebo","pink"
"6385",6385,0,"jellybean","cyan"
"2928",2928,1,"placebo","salmon"
"6130",6130,0,"placebo","cyan"
"587",587,0,"jellybean","brown"
"8903",8903,0,"jellybean","black"
"1918",1918,0,"placebo","blue"
"7030",7030,0,"placebo","mauve"
"6232",6232,0,"placebo","cyan"
"8065",8065,0,"jellybean","red"
"3321",3321,1,"jellybean","green"
"3149",3149,0,"jellybean","green"
"720",720,0,"placebo","brown"
"4330",4330,0,"placebo","magenta"
"3462",3462,0,"placebo","green"
"255",255,0,"jellybean","purple"
"3755",3755,0,"jellybean","turquoise"
"6539",6539,0,"jellybean","lilac"
"6242",6242,0,"placebo","cyan"
"8669",8669,1,"jellybean","black"
"1617",1617,0,"jellybean","blue"
"5276",5276,0,"placebo","grey"
"137",137,1,"jellybean","purple"
"3444",3444,0,"placebo","green"
"2188",2188,0,"placebo","teal"
"8054",8054,1,"placebo","red"
"8205",8205,0,"jellybean","red"
"6123",6123,0,"jellybean","cyan"
"4399",4399,0,"jellybean","magenta"
"7745",7745,1,"jellybean","beige"
"6140",6140,0,"placebo","cyan"
"1208",1208,0,"placebo","pink"
"59",59,1,"jellybean","purple"
"4560",4560,0,"placebo","yellow"
"3454",3454,0,"placebo","green"
"4190",4190,0,"placebo","magenta"
"5882",5882,0,"placebo","tan"
"3129",3129,0,"jellybean","green"
"8178",8178,0,"placebo","red"
"9169",9169,0,"jellybean","peach"
"2555",2555,1,"jellybean","salmon"
"4065",4065,0,"jellybean","magenta"
"3330",3330,0,"placebo","green"
"2825",2825,0,"jellybean","salmon"
"5607",5607,1,"jellybean","tan"
"5592",5592,0,"placebo","tan"
"9877",9877,1,"jellybean","orange"
"5238",5238,0,"placebo","grey"
"7399",7399,1,"jellybean","mauve"
"7860",7860,0,"placebo","beige"
"4215",4215,0,"jellybean","magenta"
"7898",7898,1,"placebo","beige"
"1151",1151,1,"jellybean","pink"
"6052",6052,0,"placebo","cyan"
"2619",2619,0,"jellybean","salmon"
"6598",6598,0,"placebo","lilac"
"9449",9449,0,"jellybean","peach"
"9254",9254,0,"placebo","peach"
"7316",7316,0,"placebo","mauve"
"8162",8162,0,"placebo","red"
"2048",2048,0,"placebo","teal"
"2077",2077,0,"jellybean","teal"
"3877",3877,0,"jellybean","turquoise"
"5744",5744,0,"placebo","tan"
"4601",4601,0,"jellybean","yellow"
"8118",8118,0,"placebo","red"
"7563",7563,0,"jellybean","beige"
"6733",6733,0,"jellybean","lilac"
"2278",2278,0,"placebo","teal"
"6708",6708,1,"placebo","lilac"
"4731",4731,0,"jellybean","yellow"
"7220",7220,1,"placebo","mauve"
"1985",1985,0,"jellybean","blue"
"617",617,1,"jellybean","brown"
"3876",3876,0,"placebo","turquoise"
"3335",3335,1,"jellybean","green"
"6799",6799,0,"jellybean","lilac"
"4647",4647,0,"jellybean","yellow"
"2151",2151,0,"jellybean","teal"
"7620",7620,0,"placebo","beige"
"6836",6836,0,"placebo","lilac"
"1820",1820,0,"placebo","blue"
"6471",6471,0,"jellybean","cyan"
"9785",9785,0,"jellybean","orange"
"3479",3479,0,"jellybean","green"
"6271",6271,0,"jellybean","cyan"
"2708",2708,1,"placebo","salmon"
"4064",4064,0,"placebo","magenta"
"3506",3506,0,"placebo","turquoise"
"8085",8085,0,"jellybean","red"
"2335",2335,0,"jellybean","teal"
"3319",3319,0,"jellybean","green"
"5129",5129,0,"jellybean","grey"
"2313",2313,0,"jellybean","teal"
"6886",6886,0,"placebo","lilac"
"4052",4052,0,"placebo","magenta"
"9972",9972,0,"placebo","orange"
"1849",1849,0,"jellybean","blue"
"4419",4419,0,"jellybean","magenta"
"9097",9097,1,"jellybean","peach"
"9607",9607,0,"jellybean","orange"
"6785",6785,1,"jellybean","lilac"
"2036",2036,0,"placebo","teal"
"9792",9792,0,"placebo","orange"
"6113",6113,0,"jellybean","cyan"
"9363",9363,0,"jellybean","peach"
"6687",6687,0,"jellybean","lilac"
"5617",5617,0,"jellybean","tan"
"144",144,0,"placebo","purple"
"5701",5701,0,"jellybean","tan"
"7660",7660,0,"placebo","beige"
"5497",5497,1,"jellybean","grey"
"7369",7369,1,"jellybean","mauve"
"7053",7053,0,"jellybean","mauve"
"7068",7068,1,"placebo","mauve"
"4510",4510,0,"placebo","yellow"
"3978",3978,1,"placebo","turquoise"
"2474",2474,0,"placebo","teal"
"5498",5498,0,"placebo","grey"
"8580",8580,0,"placebo","black"
"136",136,0,"placebo","purple"
"2419",2419,0,"jellybean","teal"
"1372",1372,0,"placebo","pink"
"4678",4678,0,"placebo","yellow"
"7752",7752,0,"placebo","beige"
"6306",6306,0,"placebo","cyan"
"6209",6209,0,"jellybean","cyan"
"5518",5518,1,"placebo","tan"
"7730",7730,0,"placebo","beige"
"4598",4598,0,"placebo","yellow"
"4871",4871,1,"jellybean","yellow"
"5898",5898,1,"placebo","tan"
"8222",8222,0,"placebo","red"
"2042",2042,0,"placebo","teal"
"7011",7011,0,"jellybean","mauve"
"6102",6102,0,"placebo","cyan"
"7180",7180,0,"placebo","mauve"
"384",384,0,"placebo","purple"
"6590",6590,0,"placebo","lilac"
"190",190,1,"placebo","purple"
"1299",1299,1,"jellybean","pink"
"9431",9431,0,"jellybean","peach"
"7761",7761,0,"jellybean","beige"
"1620",1620,0,"placebo","blue"
"5918",5918,0,"placebo","tan"
"8375",8375,0,"jellybean","red"
"7648",7648,0,"placebo","beige"
"6962",6962,0,"placebo","lilac"
"2296",2296,0,"placebo","teal"
"5197",5197,0,"jellybean","grey"
"3673",3673,0,"jellybean","turquoise"
"333",333,0,"jellybean","purple"
"825",825,0,"jellybean","brown"
"1365",1365,0,"jellybean","pink"
"5341",5341,0,"jellybean","grey"
"2170",2170,0,"placebo","teal"
"1543",1543,0,"jellybean","blue"
"4",4,1,"placebo","purple"
"8643",8643,0,"jellybean","black"
"1391",1391,1,"jellybean","pink"
"3725",3725,0,"jellybean","turquoise"
"7255",7255,0,"jellybean","mauve"
"7803",7803,0,"jellybean","beige"
"4831",4831,0,"jellybean","yellow"
"2468",2468,0,"placebo","teal"
"5338",5338,0,"placebo","grey"
"9920",9920,0,"placebo","orange"
"3067",3067,0,"jellybean","green"
"1577",1577,0,"jellybean","blue"
"4952",4952,0,"placebo","yellow"
"1895",1895,1,"jellybean","blue"
"4401",4401,1,"jellybean","magenta"
"9220",9220,0,"placebo","peach"
"8591",8591,0,"jellybean","black"
"1040",1040,0,"placebo","pink"
"3886",3886,0,"placebo","turquoise"
"161",161,0,"jellybean","purple"
"2901",2901,1,"jellybean","salmon"
"9647",9647,0,"jellybean","orange"
"9831",9831,1,"jellybean","orange"
"8966",8966,0,"placebo","black"
"3664",3664,1,"placebo","turquoise"
"5982",5982,0,"placebo","tan"
"5336",5336,0,"placebo","grey"
"7960",7960,0,"placebo","beige"
"2976",2976,0,"placebo","salmon"
"312",312,0,"placebo","purple"
"5861",5861,0,"jellybean","tan"
"4475",4475,0,"jellybean","magenta"
"557",557,0,"jellybean","brown"
"7859",7859,0,"jellybean","beige"
"1388",1388,1,"placebo","pink"
"6296",6296,0,"placebo","cyan"
"1579",1579,0,"jellybean","blue"
"2455",2455,1,"jellybean","teal"
"9107",9107,0,"jellybean","peach"
"3251",3251,0,"jellybean","green"
"9904",9904,0,"placebo","orange"
"1792",1792,0,"placebo","blue"
"8762",8762,0,"placebo","black"
"178",178,0,"placebo","purple"
"3214",3214,0,"placebo","green"
"4224",4224,0,"placebo","magenta"
"6217",6217,0,"jellybean","cyan"
"9477",9477,0,"jellybean","peach"
"5335",5335,1,"jellybean","grey"
"2717",2717,0,"jellybean","salmon"
"4267",4267,1,"jellybean","magenta"
"1748",1748,0,"placebo","blue"
"5418",5418,0,"placebo","grey"
"3919",3919,1,"jellybean","turquoise"
"6689",6689,0,"jellybean","lilac"
"7129",7129,0,"jellybean","mauve"
"9665",9665,0,"jellybean","orange"
"9782",9782,0,"placebo","orange"
"5285",5285,0,"jellybean","grey"
"548",548,1,"placebo","brown"
"876",876,0,"placebo","brown"
"3723",3723,0,"jellybean","turquoise"
"8413",8413,0,"jellybean","red"
"5460",5460,0,"placebo","grey"
"1903",1903,0,"jellybean","blue"
"8603",8603,1,"jellybean","black"
"8909",8909,0,"jellybean","black"
"363",363,1,"jellybean","purple"
"8659",8659,0,"jellybean","black"
"5143",5143,1,"jellybean","grey"
"5530",5530,1,"placebo","tan"
"9956",9956,0,"placebo","orange"
"6414",6414,0,"placebo","cyan"
"4679",4679,0,"jellybean","yellow"
"5835",5835,0,"jellybean","tan"
"163",163,0,"jellybean","purple"
"7479",7479,0,"jellybean","mauve"
"1775",1775,0,"jellybean","blue"
"7888",7888,1,"placebo","beige"
"2562",2562,1,"placebo","salmon"
"1590",1590,0,"placebo","blue"
"827",827,0,"jellybean","brown"
"3241",3241,0,"jellybean","green"
"7595",7595,0,"jellybean","beige"
"5233",5233,1,"jellybean","grey"
"5360",5360,1,"placebo","grey"
"5509",5509,0,"jellybean","tan"
"4188",4188,0,"placebo","magenta"
"3898",3898,0,"placebo","turquoise"
"1926",1926,0,"placebo","blue"
"5688",5688,0,"placebo","tan"
"1111",1111,0,"jellybean","pink"
"390",390,0,"placebo","purple"
"8688",8688,0,"placebo","black"
"6937",6937,0,"jellybean","lilac"
"4597",4597,0,"jellybean","yellow"
"4749",4749,0,"jellybean","yellow"
"263",263,0,"jellybean","purple"
"7252",7252,0,"placebo","mauve"
"6490",6490,1,"placebo","cyan"
"3746",3746,0,"placebo","turquoise"
"2811",2811,1,"jellybean","salmon"
