"","parole","anniparole","personeparole","personeparoleita","votoparole","votoparoleita"
"61","viaggi","2005","18485","8","5.6","2.57714897894403"
"62","donne","2005","50493","27","5.5","2.57721246428949"
"63","guerra","2005","50493","27","5.5","2.57721246428949"
"64","danza","2005","50493","27","5.5","2.57721246428949"
"65","viaggi","2005","103540","21","6.5","2.57719659295313"
"66","impresa","2005","28809","5","5.9","2.57718601206222"
"67","vita","2005","28809","5","5.9","2.57718601206222"
"68","uomini","2004","344361","135","7.6","2.57721246428949"
"69","barca","2005","9818","5","7.2","2.5771754311713"
"70","mare","2005","9818","5","7.2","2.5771754311713"
"71","vecchio","2005","9818","5","7.2","2.5771754311713"
"72","guerra","2005","24584","21","7.6","2.57722833562586"
"73","vita","2005","17372","6","7.3","2.57718072161676"
"74","universo","2004","1450","2","5.2","2.57726007829859"
"75","magia","2004","1450","2","5.2","2.57726007829859"
"76","viaggi","2004","1450","2","5.2","2.57726007829859"
"77","amore","2005","54329","26","7.5","2.57720188339858"
"78","famoso","2005","54329","26","7.5","2.57720188339858"
"79","storia","2005","54329","26","7.5","2.57720188339858"
"80","guerra","2005","54329","26","7.5","2.57720188339858"
"81","viaggi","2005","54329","26","7.5","2.57720188339858"
"82","azioni","2005","54329","26","7.5","2.57720188339858"
"83","giovane","2005","54329","26","7.5","2.57720188339858"
"84","donne","2005","180357","43","7.2","2.57721246428949"
"85","morte","2005","180357","43","7.2","2.57721246428949"
"86","viaggi","2005","180357","43","7.2","2.57721246428949"
"87","amore","2005","5466","23","7.9","2.57721775473495"
"88","paura","2005","5466","23","7.9","2.57721775473495"
"89","guerra","2005","5466","23","7.9","2.57721775473495"
"90","morte","2005","5466","23","7.9","2.57721775473495"
"91","storia","2005","20602","7","7.4","2.57718601206222"
"92","vita","2005","108918","28","6.7","2.57721775473495"
"93","morte","2005","108918","28","6.7","2.57721775473495"
"94","giovane","2005","108918","28","6.7","2.57721775473495"
"95","storia","2005","1161","6","6.5","2.57713839805312"
"96","danza","2005","1161","6","6.5","2.57713839805312"
"97","arma","2005","1161","6","6.5","2.57713839805312"
"98","amore","2004","2479","3","7.1","2.57720717384404"
"99","giovane","2004","2479","3","7.1","2.57720717384404"
"100","donne","2005","18175","8","7","2.57717014072585"
"101","amore","2005","18175","8","7","2.57717014072585"
"102","azioni","2005","18175","8","7","2.57717014072585"
"103","banca","2005","18175","8","7","2.57717014072585"
"104","vecchio","2005","18175","8","7","2.57717014072585"
"105","vita","2005","25538","48","3.5","2.57723362607132"
"106","viaggi","2005","25538","48","3.5","2.57723362607132"
"107","potere","2005","25538","48","3.5","2.57723362607132"
"108","guerra","2004","459728","205","7.9","2.5772230451804"
"109","vita","2004","459728","205","7.9","2.5772230451804"
"110","danza","2004","459728","205","7.9","2.5772230451804"
"111","giovane","2004","459728","205","7.9","2.5772230451804"
"112","felicità","2005","1703","9","6.5","2.57719130250767"
"113","amare","2005","1703","9","6.5","2.57719130250767"
"114","spazio","2005","1703","9","6.5","2.57719130250767"
"115","mercato","2005","1703","9","6.5","2.57719130250767"
"116","campagna","2004","9453","2","6.4","2.57713189778319"
"117","vita","2004","5950","13","6.5","2.57715955983494"
"118","azioni","2004","5950","13","6.5","2.57715955983494"
"119","giovane","2004","5950","13","6.5","2.57715955983494"
"120","buono","2004","5950","13","6.5","2.57715955983494"
"121","battaglia","2005","70068","5","6.3","2.57712252671675"
"122","passato","2005","70068","5","6.3","2.57712252671675"
"123","uomini","2004","12239","2","7.1","2.57718072161676"
"124","guerra","2004","296208","30","8.2","2.57720717384404"
"125","amore","2004","2466","2","6.7","2.57715426938948"
"126","giovane","2004","2466","2","6.7","2.57715426938948"
"127","sesso","2004","2466","2","6.7","2.57715426938948"
"128","malattia","2004","632","149","6.4","2.57714897894403"
"129","vita","2004","632","149","6.4","2.57714897894403"
"130","ricco","2004","632","149","6.4","2.57714897894403"
"131","giovane","2004","632","149","6.4","2.57714897894403"
"132","passato","2005","924","9","6.3","2.57719130250767"
"133","vita","2004","442065","28","8.4","2.5772230451804"
"134","omicidio","2004","442065","28","8.4","2.5772230451804"
"135","amore","2004","50400","14","7.5","2.57715955983494"
"136","paura","2004","50400","14","7.5","2.57715955983494"
"137","vita","2004","50400","14","7.5","2.57715955983494"
"138","morte","2004","50400","14","7.5","2.57715955983494"
"139","guerra","2004","11241","6","7.6","2.57716485028039"
"140","storia","2004","100650","20","7.6","2.57719130250767"
"141","morte","2005","122761","21","6.9","2.5771754311713"
"142","giovane","2005","63","4","5.1","2.57715426938948"
"143","innamorato","2004","11439","7","7","2.5771754311713"
"144","giovane","2004","11439","7","7","2.5771754311713"
"145","vita","2004","217","8","6.9","2.57719659295313"
"146","mare","2004","217","8","6.9","2.57719659295313"
"147","sport","2004","217","8","6.9","2.57719659295313"
"148","vita","2004","329070","37","7.5","2.57722833562586"
"149","passato","2004","32542","13","7.1","2.57719130250767"
"150","mercante","2004","32542","13","7.1","2.57719130250767"
"151","famoso","2005","174386","23","6.8","2.57720717384404"
"152","vita","2005","174386","23","6.8","2.57720717384404"
"153","viaggi","2005","174386","23","6.8","2.57720717384404"
"154","amore","2004","324","2","6.7","2.57726007829859"
"155","storia","2004","324","2","6.7","2.57726007829859"
"156","vita","2005","13271","12","6.4","2.57718601206222"
"157","viaggi","2005","13271","12","6.4","2.57718601206222"
"158","povero","2005","13271","12","6.4","2.57718601206222"
"159","vita","2004","1343","64","5.6","2.57723362607132"
"160","magia","2004","1343","64","5.6","2.57723362607132"
"161","mare","2004","1343","64","5.6","2.57723362607132"
"162","innamorato","2005","122","3","6.5","2.57719130250767"
"163","mare","2005","122","3","6.5","2.57719130250767"
"164","arma","2005","122","3","6.5","2.57719130250767"
"165","giovane","2005","122","3","6.5","2.57719130250767"
"166","giovane","2004","272066","63","8.2","2.57724420696223"
"167","amore","2005","63719","41","6.6","2.57721775473495"
"168","vita","2005","63719","41","6.6","2.57721775473495"
"169","amare","2005","469448","242","7.7","2.57723891651677"
"170","magia","2005","469448","242","7.7","2.57723891651677"
"171","mare","2005","469448","242","7.7","2.57723891651677"
"172","ombra","2005","469448","242","7.7","2.57723891651677"
"173","sesso","2005","5567","103","4.8","2.57721246428949"
"174","storia","2005","26704","16","7","2.57718072161676"
"175","danza","2005","26704","16","7","2.57718072161676"
"176","gang","2005","175948","22","6.3","2.57717014072585"
"177","paura","2005","175948","22","6.3","2.57717014072585"
"178","West","2005","24637","67","5.9","2.57715955983494"
"179","omicidio","2005","24637","67","5.9","2.57715955983494"
"180","giovane","2005","24637","67","5.9","2.57715955983494"
"181","barca","2005","112","20","5.7","2.57721246428949"
"182","guerra","2005","112","20","5.7","2.57721246428949"
"183","morte","2005","112","20","5.7","2.57721246428949"
"184","futuro","2005","112","20","5.7","2.57721246428949"
"185","sport","2005","112","20","5.7","2.57721246428949"
"186","giovane","2005","112","20","5.7","2.57721246428949"
"187","guerra","2005","273011","38","7.6","2.57721246428949"
"188","mercante","2005","273011","38","7.6","2.57721246428949"
"189","amore","2004","3210","20","7.2","2.57713839805312"
"190","storia","2004","3210","20","7.2","2.57713839805312"
"191","viaggi","2004","3210","20","7.2","2.57713839805312"
"192","storia","2005","523","9","5.6","2.57717014072585"
"193","vita","2005","523","9","5.6","2.57717014072585"
"194","danza","2005","523","9","5.6","2.57717014072585"
"195","cowboy","2004","188515","53","7.7","2.5772230451804"
"196","compagnia","2004","188515","53","7.7","2.5772230451804"
"197","morte","2004","2587","3","6.8","2.57715426938948"
"198","storia","2005","112","13","5.7","2.57717014072585"
"199","viaggi","2005","112","13","5.7","2.57717014072585"
"200","passato","2005","112","12","5.7","2.57714368849857"
"201","giovane","2005","112","12","5.7","2.57714368849857"
"202","vita","2005","2391","9","7.4","2.5771754311713"
"203","azioni","2005","2391","9","7.4","2.5771754311713"
"204","malattia","2005","3078","8","6.3","2.57718072161676"
"205","guerra","2005","3078","8","6.3","2.57718072161676"
"206","spazio","2005","3078","8","6.3","2.57718072161676"
"207","viaggi","2005","3078","8","6.3","2.57718072161676"
"208","azioni","2005","3078","8","6.3","2.57718072161676"
"209","povero","2005","112","53","5.7","2.5772230451804"
"210","viaggi","2004","166789","11","7.5","2.57717014072585"
"211","vecchio","2004","166789","11","7.5","2.57717014072585"
"212","storia","2004","3074","7","7.4","2.57715426938948"
"213","vita","2004","3074","7","7.4","2.57715426938948"
"214","futuro","2004","3074","7","7.4","2.57715426938948"
"215","treno","2004","23407","9","6.9","2.57715426938948"
"216","mercato","2004","23407","9","6.9","2.57715426938948"
"217","borsa","2004","23407","9","6.9","2.57715426938948"
"218","vita","2003","5703","2","7.5","2.57713189778319"
"219","giovane","2003","5703","2","7.5","2.57713189778319"
"220","potere","2003","5703","2","7.5","2.57713189778319"
"221","vita","2005","284627","62","6.9","2.57719130250767"
"222","universo","2005","284627","62","6.9","2.57719130250767"
"223","luce","2005","284627","62","6.9","2.57719130250767"
"224","passato","2005","90494","16","7.2","2.5771754311713"
"225","azioni","2005","404582","37","6.5","2.57721246428949"
"226","uomini","2004","22515","5","6.4","2.57716485028039"
"227","vita","2004","22515","5","6.4","2.57716485028039"
"228","ricco","2004","22515","5","6.4","2.57716485028039"
"229","banda","2005","75833","7","5.8","2.57720717384404"
"230","vita","2005","75833","7","5.8","2.57720717384404"
"231","sconosciuto","2005","32368","21","5.1","2.57720188339858"
"232","omicidio","2005","198894","13","7.6","2.57721775473495"
"233","amore","2005","9518","5","6.6","2.57711194582584"
"234","arma","2005","9518","5","6.6","2.57711194582584"
"235","vita","2005","6243","4","6.8","2.57718072161676"
"236","vita","2004","71648","17","8","2.57721246428949"
"237","mare","2004","71648","17","8","2.57721246428949"
"238","amore","2003","11807","9","7.6","2.5771754311713"
"239","vita","2003","11807","9","7.6","2.5771754311713"
"240","sport","2003","11807","9","7.6","2.5771754311713"
"241","giovane","2003","11807","9","7.6","2.5771754311713"
"242","morte","2004","306787","29","8.1","2.57723362607132"
"243","buono","2004","306787","29","8.1","2.57723362607132"
"244","morte","2003","30661","23","8","2.57720188339858"
"245","vita","2004","2025","2","5.2","2.57715426938948"
"246","azioni","2004","2025","2","5.2","2.57715426938948"
"247","treno","2005","2340","4","7","2.57718072161676"
"248","viaggi","2005","2340","4","7","2.57718072161676"
"249","sport","2005","2340","4","7","2.57718072161676"
"250","mercato","2005","2340","4","7","2.57718072161676"
"251","amore","2004","1490","2","6.2","2.57713189778319"
"252","storia","2004","1490","2","6.2","2.57713189778319"
"253","viaggi","2004","1490","2","6.2","2.57713189778319"
"254","viaggi","2004","640","5","6.6","2.57716485028039"
"255","giovane","2004","640","5","6.6","2.57716485028039"
"256","vita","2003","2377","9","6.1","2.57718601206222"
"257","giovane","2005","81","13","7","2.57720188339858"
"258","vita","2004","199574","17","7.5","2.57721775473495"
"259","amore","2005","33229","5","7.3","2.5771754311713"
"260","storia","2005","33229","5","7.3","2.5771754311713"
"261","vita","2005","33229","5","7.3","2.5771754311713"
"262","futuro","2005","33229","5","7.3","2.5771754311713"
"263","azioni","2005","33229","5","7.3","2.5771754311713"
"264","banda","2005","16157","3","7.5","2.57713839805312"
"265","amore","2005","959","6","7","2.57713839805312"
"266","storia","2005","959","6","7","2.57713839805312"
"267","uomini","2005","129650","42","7.4","2.57720717384404"
"268","storia","2005","129650","42","7.4","2.57720717384404"
"269","amore","2005","1537","33","5.8","2.57721246428949"
"270","morte","2005","1537","33","5.8","2.57721246428949"
"271","innamorata","2005","1302","87","3.8","2.57718601206222"
"272","battaglia","2005","330326","89","6.9","2.57722833562586"
"273","universo","2005","330326","89","6.9","2.57722833562586"
"274","magia","2005","330326","89","6.9","2.57722833562586"
"275","campagna","2005","330326","89","6.9","2.57722833562586"
"276","arma","2005","330326","89","6.9","2.57722833562586"
"277","vecchio","2005","330326","89","6.9","2.57722833562586"
"278","storia","2005","47164","13","5.5","2.57718601206222"
"279","giovane","2005","47164","13","5.5","2.57718601206222"
"280","storia","2005","1115","5","6.6","2.57720717384404"
"281","viaggi","2005","1115","5","6.6","2.57720717384404"
"282","azioni","2005","1115","5","6.6","2.57720717384404"
"283","eroe","2005","1115","5","6.6","2.57720717384404"
"284","vita","2005","6380","7","5.5","2.57717014072585"
"285","vita","2005","1965","7","6.7","2.5771754311713"
"286","storia","2005","14475","7","7","2.57719130250767"
"287","impresa","2005","14475","7","7","2.57719130250767"
"288","guerra","2005","14475","7","7","2.57719130250767"
"289","uomini","2005","62922","9","7.6","2.57719130250767"
"290","azioni","2004","1017","4","4","2.57719659295313"
"291","vita","2005","213506","67","6.6","2.57721775473495"
"292","morte","2005","213506","67","6.6","2.57721775473495"
"293","vita","2005","187527","67","7.6","2.5772230451804"
"294","danza","2005","187527","67","7.6","2.5772230451804"
"295","giovane","2005","187527","67","7.6","2.5772230451804"
"296","uomini","2005","77545","33","6.7","2.57720717384404"
"297","treno","2005","67189","12","6.6","2.57717014072585"
"298","vita","2005","67189","12","6.6","2.57717014072585"
"299","uomini","2005","292669","86","7.7","2.5772230451804"
"300","danza","2005","292669","86","7.7","2.5772230451804"
"301","amare","2005","55076","23","6.3","2.57720188339858"
"302","mare","2005","55076","23","6.3","2.57720188339858"
"303","vita","2005","23873","3","8.3","2.57715426938948"
"304","vita","2005","122890","22","6.1","2.57718072161676"
"305","vita","2005","68929","22","5.9","2.57715426938948"
"306","squadra","2005","195199","27","7.6","2.5772230451804"
"307","storia","2005","195199","27","7.6","2.5772230451804"
"308","morte","2005","16","4","5.2","2.57715426938948"
"309","giovane","2005","670","4","5.4","2.57718072161676"
"310","vita","2005","224408","97","7.8","2.5772230451804"
"311","ricco","2005","224408","97","7.8","2.5772230451804"
"312","famoso","2004","14529","5","6.7","2.57714368849857"
"313","mare","2004","14529","5","6.7","2.57714368849857"
"314","malattia","2005","335","12","6.4","2.57714897894403"
"315","paura","2005","335","12","6.4","2.57714897894403"
"316","vita","2005","335","12","6.4","2.57714897894403"
"317","vecchio","2005","335","12","6.4","2.57714897894403"
"318","ombra","2005","335","12","6.4","2.57714897894403"
"319","storia","2006","112","15","5.7","2.57719130250767"
"320","vita","2006","112","15","5.7","2.57719130250767"
"321","morte","2006","112","15","5.7","2.57719130250767"
"322","viaggi","2006","112","15","5.7","2.57719130250767"
"323","giovane","2006","112","15","5.7","2.57719130250767"
"324","vita","2005","14438","27","6.1","2.57718601206222"
"325","giovane","2005","14438","27","6.1","2.57718601206222"
"326","vita","2005","21758","2","7","2.57713189778319"
"327","banda","2005","5","4","4","2.57723362607132"
"328","vita","2005","5","4","4","2.57723362607132"
"329","viaggi","2005","5","4","4","2.57723362607132"
"330","guerra","2006","176866","29","6.7","2.57722833562586"
"331","uomini","2005","36411","12","7.3","2.57719659295313"
"332","donne","2005","36411","12","7.3","2.57719659295313"
"333","vita","2005","36411","12","7.3","2.57719659295313"
"334","azioni","2005","36411","12","7.3","2.57719659295313"
"335","vita","2005","5794","5","6.7","2.57716485028039"
"336","ballo","2005","5794","5","6.7","2.57716485028039"
"337","vecchio","2005","5794","5","6.7","2.57716485028039"
"338","morti","2005","5794","5","6.7","2.57716485028039"
"339","viaggi","2005","36512","11","7.4","2.57719130250767"
"340","guerra","2005","112","6","5.7","2.57711723627129"
"341","arma","2005","112","6","5.7","2.57711723627129"
"342","giovane","2005","112","6","5.7","2.57711723627129"
"343","vittoria","2005","127","1","7.8","2.57726007829859"
"344","mafia","2005","127","1","7.8","2.57726007829859"
"345","storia","2005","127","1","7.8","2.57726007829859"
"346","storia","2004","33195","19","6.4","2.57719659295313"
"347","ombra","2004","33195","19","6.4","2.57719659295313"
"348","amore","2005","37757","23","6.2","2.57718072161676"
"349","vita","2005","37757","23","6.2","2.57718072161676"
"350","moderno","2005","37757","23","6.2","2.57718072161676"
"351","barca","2005","38663","14","7.4","2.57720188339858"
"352","storia","2005","38663","14","7.4","2.57720188339858"
"353","vita","2005","38663","14","7.4","2.57720188339858"
"354","passato","2005","38663","14","7.4","2.57720188339858"
"355","guerra","2005","159296","22","7","2.57721246428949"
"356","innamorato","2005","48685","27","6.5","2.57723362607132"
"357","vita","2005","48685","27","6.5","2.57723362607132"
"358","amore","2005","208064","30","7.9","2.5772230451804"
"359","storia","2005","208064","30","7.9","2.5772230451804"
"360","giovane","2005","208064","30","7.9","2.5772230451804"
"361","storia","2005","3769","54","6.3","2.57723362607132"
"362","danza","2005","3769","54","6.3","2.57723362607132"
"363","famoso","2005","117967","19","5.5","2.57714897894403"
"364","guerra","2005","117967","19","5.5","2.57714897894403"
"365","vita","2005","117967","19","5.5","2.57714897894403"
"366","futuro","2005","117967","19","5.5","2.57714897894403"
"367","vita","2005","118882","17","6.9","2.5771754311713"
"368","ispirato a","2005","118882","17","6.9","2.5771754311713"
"369","donne","2005","155727","48","5.9","2.57720717384404"
"370","storia","2005","155727","48","5.9","2.57720717384404"
"371","viaggi","2005","155727","48","5.9","2.57720717384404"
"372","oscuro","2005","155727","48","5.9","2.57720717384404"
"373","azienda","2005","4132","12","7.4","2.57719659295313"
"374","storia","2005","69047","27","6.9","2.57720717384404"
"375","vita","2005","69047","27","6.9","2.57720717384404"
"376","giovane","2005","69047","27","6.9","2.57720717384404"
"377","delitto","2005","123187","9","7.4","2.57721246428949"
"378","viaggi","2005","123187","9","7.4","2.57721246428949"
"379","amore","2005","73873","13","6.6","2.57716485028039"
"380","banca","2005","390","2","6.5","2.57720717384404"
"381","vita","2005","132","5","4.6","2.57715426938948"
"382","gang","2005","26493","1","7.3","2.57726007829859"
"383","vita","2005","26493","1","7.3","2.57726007829859"
"384","giovane","2005","26493","1","7.3","2.57726007829859"
"385","amore","2003","3415","2","6.7","2.57720717384404"
"386","storia","2003","3415","2","6.7","2.57720717384404"
"387","vita","2003","3415","2","6.7","2.57720717384404"
"388","azienda","2003","3415","2","6.7","2.57720717384404"
"389","vita","2006","1355","16","6.8","2.57720188339858"
"390","giovane","2006","1355","16","6.8","2.57720188339858"
"391","campagna","2005","3845","5","6.5","2.5771754311713"
"392","amore","2006","49","15","6.8","2.57719130250767"
"393","sport","2004","5158","2","7.6","2.57713189778319"
"394","tratto da","2005","38001","5","6.4","2.57726007829859"
"395","battaglia","2005","112","21","5.7","2.57718601206222"
"396","famoso","2005","112","21","5.7","2.57718601206222"
"397","storia","2006","30639","14","7.1","2.57718601206222"
"398","guerra","2005","929341","155","8.2","2.57723362607132"
"399","futuro","2005","929341","155","8.2","2.57723362607132"
"400","giovane","2005","929341","155","8.2","2.57723362607132"
"401","uomini","2005","18","5","3.7","2.57715426938948"
"402","storia","2005","18","5","3.7","2.57715426938948"
"403","vita","2005","18","5","3.7","2.57715426938948"
"404","danza","2005","18","5","3.7","2.57715426938948"
"405","azioni","2005","18","5","3.7","2.57715426938948"
"406","giovane","2005","112","7","5.7","2.57720717384404"
"407","viaggi","2005","26","4","5.4","2.57718072161676"
"408","passato","2005","26","4","5.4","2.57718072161676"
"409","danza","2005","26","4","5.4","2.57718072161676"
"410","giovane","2005","26","4","5.4","2.57718072161676"
"411","uomini","2005","11186","4","7.5","2.57718072161676"
"412","passato","2005","11186","4","7.5","2.57718072161676"
"413","mare","2005","11186","4","7.5","2.57718072161676"
"414","ricco","2005","11186","4","7.5","2.57718072161676"
"415","famoso","2006","43519","27","7.2","2.57718601206222"
"416","storia","2006","4301","73","6.7","2.57711723627129"
"417","giovane","2006","4301","73","6.7","2.57711723627129"
"418","vita","2005","117271","43","5.8","2.57722833562586"
"419","morte","2005","117271","43","5.8","2.57722833562586"
"420","montagna","2005","117271","43","5.8","2.57722833562586"
"421","amore","2006","63","58","6.5","2.5772230451804"
"422","guerra","2006","63","58","6.5","2.5772230451804"
"423","guerriero","2006","63","58","6.5","2.5772230451804"
"424","futuro","2006","63","58","6.5","2.5772230451804"
"425","amore","2006","603","2","7.7","2.57713189778319"
"426","storia","2006","603","2","7.7","2.57713189778319"
"427","vita","2006","603","2","7.7","2.57713189778319"
"428","mare","2006","603","2","7.7","2.57713189778319"
"429","vecchio","2006","603","2","7.7","2.57713189778319"
"430","vita","2004","112","8","5.7","2.57720717384404"
"431","morte","2004","112","8","5.7","2.57720717384404"
"432","viaggi","2004","112","8","5.7","2.57720717384404"
"433","innamorato","2005","139","3","6.6","2.57719130250767"
"434","vita","2005","139","3","6.6","2.57719130250767"
"435","morte","2005","139","3","6.6","2.57719130250767"
"436","passato","2005","139","3","6.6","2.57719130250767"
"437","giovane","2005","139","3","6.6","2.57719130250767"
"438","barca","2005","9","1","3.8","2.57726007829859"
"439","vita","2005","9","1","3.8","2.57726007829859"
"440","universo","2005","9","1","3.8","2.57726007829859"
"441","futuro","2005","9","1","3.8","2.57726007829859"
"442","ricco","2005","9","1","3.8","2.57726007829859"
"443","giovane","2005","9","1","3.8","2.57726007829859"
"444","amore","2005","24368","18","5.4","2.57719130250767"
"445","guerra","2005","24368","18","5.4","2.57719130250767"
"446","vita","2005","24368","18","5.4","2.57719130250767"
"447","famoso","2006","8727","13","5.8","2.57716485028039"
"448","ricco","2006","8727","13","5.8","2.57716485028039"
"449","vita","2004","1494","4","7.2","2.57726007829859"
"450","amore","2004","67","6","7","2.57713839805312"
"451","storia","2004","67","6","7","2.57713839805312"
"452","vita","2005","2663","1","7.7","2.57726007829859"
"453","uomini","2006","93080","7","7.4","2.57725478785314"
"454","amore","2006","93080","7","7.4","2.57725478785314"
"455","mafia","2006","93080","7","7.4","2.57725478785314"
"456","arma","2006","93080","7","7.4","2.57725478785314"
"457","azioni","2006","93080","7","7.4","2.57725478785314"
"458","sparare","2006","93080","7","7.4","2.57725478785314"
"459","vita","2005","1011","10","6.3","2.57719130250767"
"460","barca","2005","112","4","5.7","2.57715426938948"
"461","vita","2005","112","4","5.7","2.57715426938948"
"462","viaggi","2005","112","4","5.7","2.57715426938948"
"463","ballo","2005","112","4","5.7","2.57715426938948"
"464","vita","2005","11776","4","7.8","2.57719659295313"
"465","viaggi","2004","63","7","7.6","2.5771754311713"
"466","giovane","2004","63","7","7.6","2.5771754311713"
"467","campagna","2005","40894","17","7.8","2.57721246428949"
"468","donne","2005","112","14","5.7","2.57715426938948"
"469","mafia","2005","112","14","5.7","2.57715426938948"
"470","felicità","2005","1191","6","6.1","2.57719130250767"
"471","vita","2005","1191","6","6.1","2.57719130250767"
"472","giovane","2005","1191","6","6.1","2.57719130250767"
"473","uomini","2005","77","6","6","2.57719130250767"
"474","vita","2005","77","6","6","2.57719130250767"
"475","futuro","2005","77","6","6","2.57719130250767"
"476","giovane","2005","77","6","6","2.57719130250767"
"477","uomini","2005","7511","6","6.6","2.57719130250767"
"478","donne","2005","7511","6","6.6","2.57719130250767"
"479","amore","2005","7511","6","6.6","2.57719130250767"
"480","vita","2005","7511","6","6.6","2.57719130250767"
"481","donne","2005","112","2","5.7","2.57718072161676"
"482","amore","2005","112","2","5.7","2.57718072161676"
"483","vita","2005","112","2","5.7","2.57718072161676"
"484","universo","2005","112","2","5.7","2.57718072161676"
"485","passato","2005","112","2","5.7","2.57718072161676"
"486","danza","2005","112","2","5.7","2.57718072161676"
"487","malattia","2005","139","5","5.8","2.5771754311713"
"488","amore","2005","139","5","5.8","2.5771754311713"
"489","innamorato","2005","139","5","5.8","2.5771754311713"
"490","storia","2005","139","5","5.8","2.5771754311713"
"491","vita","2005","139","5","5.8","2.5771754311713"
"492","banca","2005","139","5","5.8","2.5771754311713"
"493","vita","2006","53236","15","5.8","2.57720188339858"
"494","azioni","2006","53236","15","5.8","2.57720188339858"
"495","banca","2006","53236","15","5.8","2.57720188339858"
"496","compagnia","2006","6","1","3.8","2.57726007829859"
"497","banda","2005","10823","5","6.3","2.57722833562586"
"498","innamorato","2005","10823","5","6.3","2.57722833562586"
"499","giovane","2005","10823","5","6.3","2.57722833562586"
"500","tratto da","2005","10823","5","6.3","2.57722833562586"
"501","barca","2006","21593","17","5.3","2.57717014072585"
"502","storia","2006","23486","56","6.7","2.5772230451804"
"503","vita","2006","23486","56","6.7","2.5772230451804"
"504","ballo","2006","23486","56","6.7","2.5772230451804"
"505","danza","2006","23486","56","6.7","2.5772230451804"
"506","viaggi","2005","156","16","5.7","2.5772230451804"
"507","uomini","2005","32425","14","3.6","2.57718601206222"
"508","veliero","2005","32425","14","3.6","2.57718601206222"
"509","mare","2005","32425","14","3.6","2.57718601206222"
"510","borsa","2005","32425","14","3.6","2.57718601206222"
"511","azioni","2005","32425","14","3.6","2.57718601206222"
"512","vita","2004","8413","4","7.1","2.5771278171622"
